Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
SOD2,SOD2,-24.05642774,0.002928301,-60.94417536,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SOD2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2)
VBP1,VBP1,-23.63599025,0.002919423,-59.9102145,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VBP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VBP1)
ATP6V1C1,ATP6V1C1,-22.42882698,0.002955603,-56.73043943,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V1C1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1C1)
ATP6V1H,ATP6V1H,-21.0133987,0.002919423,-53.26272393,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V1H+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1H)
VPS36,VPS36,-20.68663403,0.002919423,-52.43447255,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VPS36+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS36)
ATP6AP1,ATP6AP1,-20.45630561,0.002919423,-51.85065843,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6AP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP1)
SOD1,SOD1,-19.85419933,0.002955603,-50.21829513,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SOD1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1)
TBCE,TBCE,-19.67396862,0.002919423,-49.86766655,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TBCE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCE)
ZMAT5,ZMAT5,-19.1283767,0.002955625,-48.38237326,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ZMAT5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMAT5)
GTF2H2,"GTF2H2_ENST00000274400.5,ENST00000330280.7",-19.03194045,0.002955625,-48.13845216,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GTF2H2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2H2)
ATP6V0C,ATP6V0C,-18.38741747,0.002919423,-46.60664154,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V0C+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0C)
